run_id,endpoint,strategy,threshold,net_benefit,interpretation_status
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.48000000000000004,0.1670178077463954,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.49,0.16380946003259,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.5,0.15957945489854686,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.51,0.1558116047597637,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.52,0.15284102323712584,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.53,0.1487815789961117,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.54,0.1451861794275299,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.55,0.14235436802904827,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.56,0.1397728033702051,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.5700000000000001,0.13649806344306897,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.5800000000000001,0.13281865347759672,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.59,0.12866168071042527,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Updated MLP,0.6,0.12499162927743922,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.01,0.3811546794537486,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.02,0.37463595898414276,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.03,0.3680705087535321,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.04,0.36165288287684993,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.05,0.35516006583793575,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.060000000000000005,0.3486302648282898,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.06999999999999999,0.3418988327072393,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.08,0.33605175581364877,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.09,0.32991427644210075,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.09999999999999999,0.3239581240652693,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.11,0.3182740585852764,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.12,0.31250494633605863,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.13,0.30703848838990405,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.14,0.30180231390131734,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.15000000000000002,0.29657371553724277,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.16,0.2915179866897539,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.17,0.28698790339823094,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.18000000000000002,0.28260457686609947,sensitivity_analysis_not_clinically_prespecified
binary_20260719_044949_c6c955a30fc2,IDH,Target-local logistic,0.19,0.27828126123847013,sensitivity_analysis_not_clinically_prespecified
